,age,sex,smoker,pren_prod,pren_comp,point_sales,product_type,dist_channel,pay_freq,pay_method,profession,evento,time
3224,40,1,1,45.2,0.0,0,8,2,3,0,1,True,758.0
7678,47,1,1,57.5,0.0,0,7,2,3,1,1,False,2708.0
6022,54,0,1,1188.0,475.5,1,8,1,0,1,1,False,928.0
931,32,0,1,474.0,17.22,2,8,1,3,1,1,True,1377.0
5303,25,0,1,36.5,4.18,3,8,2,3,1,2,False,386.0
4758,24,1,0,74.2,0.0,3,2,3,3,1,0,True,166.0
3822,44,0,0,25.84,0.0,4,3,2,3,1,2,True,859.0
5617,22,0,1,28.0,1.21,2,8,2,3,1,1,True,423.0
1447,33,1,1,34.8,0.0,0,8,2,3,1,2,True,671.0
3517,43,1,1,131.0,0.0,1,8,2,3,1,1,False,308.0
5913,35,1,1,732.0,10.51,1,7,1,3,1,1,True,880.0
7045,29,1,1,63.2,25.8,0,8,2,3,1,2,False,2830.0
3595,39,1,1,53.0,0.0,1,8,2,3,1,1,False,3602.0
7398,33,0,1,74.7,0.09,0,8,2,3,1,1,True,222.0
5929,43,0,1,33.2,0.0,3,7,2,3,1,1,True,334.0
5709,22,1,1,37.0,3.67,0,8,2,3,1,1,True,152.0
1894,25,0,1,23.5,22.34,0,10,2,3,1,2,False,34.0
4544,51,0,1,58.5,1.5,1,10,2,1,1,1,False,64.0
1085,38,1,1,41.0,0.0,2,4,2,3,1,1,False,60.0
3966,23,0,1,35.5,0.0,0,8,2,3,1,1,True,195.0
7604,41,1,1,117.0,0.0,1,8,2,3,1,1,True,1769.0
4941,33,1,1,69.6,0.0,0,8,2,3,1,1,False,1582.0
3638,56,1,1,1171.16,0.0,1,3,1,1,0,1,False,274.0
7851,52,0,1,63.5,0.0,1,7,2,3,1,2,True,287.0
933,35,1,1,65.8,0.4,2,8,2,3,1,1,True,1457.0
6987,32,0,1,29.08,0.0,1,2,2,3,1,1,True,395.0
3538,30,1,1,48.0,0.0,0,8,2,1,0,2,False,546.0
2180,22,1,0,46.8,0.75,2,8,2,3,1,1,True,500.0
2232,47,0,1,19.8,39.2,0,7,2,3,1,1,False,729.0
3164,55,0,1,37.25,0.19,0,7,2,3,0,1,True,906.0
5053,35,1,1,81.87,9.46,0,8,2,3,1,2,False,2921.0
3160,26,0,1,38.0,0.0,1,7,2,3,1,1,True,1684.0
4175,30,0,1,38.5,0.0,0,8,2,3,1,1,True,1982.0
7232,37,1,1,48.5,0.42,1,9,2,3,1,2,True,77.0
2049,32,0,1,804.0,580.48,0,8,1,3,1,1,False,2524.0
4255,41,0,1,54.5,0.0,1,8,2,3,0,1,True,1353.0
5228,35,1,1,32.5,4.64,3,7,2,3,1,1,True,1414.0
7319,26,0,1,69.38,1.03,2,8,2,3,1,1,True,362.0
2837,31,0,1,31.2,0.11,2,8,2,3,1,1,False,1339.0
64,48,1,1,69.2,0.21,1,8,2,1,1,1,False,1125.0
3453,31,1,1,24.3,0.01,3,7,2,3,1,2,True,811.0
5792,32,1,1,51.0,0.0,1,7,2,3,1,1,True,248.0
4185,37,1,1,128.79,0.0,0,0,1,0,0,2,True,415.0
4130,33,1,1,42.0,0.0,3,7,2,3,1,1,True,1535.0
3357,61,1,1,61.55,0.0,1,0,2,3,1,1,True,288.0
4108,25,1,1,59.03,47.84,1,8,2,3,1,2,False,790.0
6320,32,0,1,686.4,0.0,3,7,1,3,1,1,False,974.0
5732,35,1,1,21.05,0.0,3,2,2,3,1,1,True,115.0
5481,54,0,1,343.2,905.8,1,7,1,3,1,1,True,417.0
6968,33,1,0,279.46,0.0,0,1,1,0,0,1,True,429.0
7005,38,1,1,51.1,0.0,0,7,2,3,1,2,False,1841.0
2198,36,1,1,33.0,0.29,4,7,2,3,1,1,True,182.0
5930,46,0,1,35.26,1.57,1,2,2,3,1,1,True,393.0
6684,33,1,1,30.0,0.0,1,7,2,3,1,1,True,177.0
1575,37,0,1,902.4,4.82,0,9,1,3,1,1,False,35.0
6789,28,1,0,40.67,0.0,0,8,2,3,1,1,True,1296.0
7426,25,1,1,45.6,0.0,3,8,2,3,1,2,True,417.0
3373,43,1,1,34.06,1.34,1,8,2,3,1,2,True,178.0
7799,35,1,1,564.0,6.0,0,8,1,3,0,1,True,16.0
4726,31,1,1,49.0,0.36,1,7,2,3,1,0,False,1429.0
5363,69,1,0,4997.48,0.0,0,1,1,1,0,2,True,1165.0
4381,36,0,1,534.0,991.0,2,8,1,1,0,1,True,448.0
3700,31,1,1,486.0,0.0,1,8,1,1,1,1,True,476.0
6006,42,1,1,42.5,0.0,1,7,2,3,1,2,True,525.0
5933,54,1,1,593.59,0.0,0,5,1,3,1,1,False,152.0
6597,37,0,1,1008.0,572.0,0,9,1,3,1,1,False,15.0
6450,29,0,1,22.8,0.56,0,8,2,3,1,2,False,251.0
34,42,1,1,49.11,25.0,1,2,2,1,1,1,True,4044.0
536,41,1,1,702.0,69.61,3,8,1,3,0,1,True,536.0
5920,34,0,1,46.2,0.1,1,8,2,3,1,1,True,240.0
6889,46,1,1,70.38,1.34,2,8,2,3,1,1,True,2161.0
6547,35,1,1,26.0,0.0,1,7,2,1,1,1,True,179.0
1415,44,0,1,36.0,0.0,0,8,2,3,1,1,False,3105.0
2831,41,1,1,87.75,2.16,2,8,2,3,1,1,False,2359.0
3989,40,0,1,36.0,2.96,3,7,2,3,1,1,False,974.0
5211,45,0,1,63.5,0.0,1,8,2,0,1,1,True,4.0
5089,37,1,1,48.5,0.19,1,8,2,3,1,1,False,2952.0
482,31,1,1,444.0,0.0,0,8,0,1,0,1,True,873.0
1066,26,1,1,24.5,10.61,1,7,2,1,1,1,False,3507.0
5162,41,1,1,117.0,0.0,0,8,2,0,0,1,True,85.0
1842,47,1,1,31.21,12.17,0,2,2,3,1,1,False,578.0
2592,41,1,1,538.86,0.0,1,1,1,1,0,2,False,309.0
7850,48,0,1,42.6,0.0,1,8,2,3,1,2,True,423.0
2699,55,1,1,1821.6,0.0,0,8,1,0,0,1,True,1554.0
